additional_info,Hotel_Address,City,hotel_facilities,Ratings,Attractions,Hotel_Name,property_type,state
Room Service Internet Access Free Internet,"Near MTDC, Ellora caves, Ellora, aurangabad",Aurangabad,Lobby Parking Facilities Available Front Desk Power Backup Car Rental Kids Play Zone Internet Access Free Newspapers In Lobby Room Service (24 Hours) Party hall Parking Facility Internet Access,3,"Pitalkhora Caves,Ellora,Daulatabad Fort","Ellora heritage resort, Ellora",Resort,Maharashtra
,"Maradi, Aldur, Chikmagalur",Chikmagalur,"Airport Transfer Available   Surcharge Doctor on Call Games Zone Parking Facilities Available Pets Allowed Spa On Site - Chargeable Local Tour   Travel Desk Valet service Welcome Drinks Power Backup Wake-up Call   Service Separate Sitting Area Access Via Exterior Corridors Fire Place Available  Picnic Area Safari Pick Up and Drop (Rly Station, Bus Stand, Temple) Nature Walk Extra Person   Child - Share the same room Village Visit ( Chargeable ) Kids Play Zone Taxi Services  Drivers Rest Room Trekking",0,Aldur,Forest Homestay-Aldur,Homestay,Karnataka
Room Service Internet Access,OFF M.G.Road  Goregaon West,Mumbai,Doctor on Call Laundry Service Available Lift   Elevator Parking Facilities Available ATM   Banking Kitchen available (home cook food on request) Newspapers In Lobby Room Service (24 Hours) Parking Facility Internet Access,3,"Chhatrapati Shivaji International Airport,Goregaon,Film City",Executive Service Apartments Goregaon West,Service Apartment,Maharashtra
Restaurant,"Don Joao Resort Sorranto, Anjuna, North Goa - 403509.",Goa,Currency Exchange Doctor on Call Multi Cuisine Restaurant  Major Credit Cards Accepted  Bike on Rent Car Rental,1,"North Goa,Anjuna Beach Bus Stop,Vagator Beach,Anjuna Area,Anjuna Beach",Don Joao Resort,Resort,Goa
Room Service Internet Access Gym Spa Swimming Pool Restaurant,"Block I, Plot 1A, Sector - 27, Noida",Noida,Swimming Pool Banquet Facilities Internet Access - Surcharge Multi Cuisine Restaurant  Fitness Equipment Sauna Massage Services,4,"Akshardham Temple,Connaught Place,Airport,Hospital,Pragati Maidan,Railway Station,City Center,Big Cinemas,Mardi Grass Showroom,WAVE - cinema,The Great India Place,Noida Golf Course Metro Station,Shipra Mall,Botanical Garden Metro Station,Sector 27","Fortune Inn Grazia, Noida",Hotel,Uttar Pradesh
Room Service Free Internet,Forest Eco Lodge Sunrise Valley Rd Opp New Toll Post Mount Abu,Mount Abu,Doctor on Call Games Zone Laundry Service Available Non Smoking Rooms Parking Facilities Available Front Desk Local Tour   Travel Desk 24 Hour Front Desk Power Backup Gardens Wake-up Call   Service Picnic Area Nature Walk  Bike on Rent Vegetarian Food   Jain Food Available Car Rental Taxi Services Campfire   Bon Fire Internet Access Free Family Room Guide   Sightseeing Service RO Water Purification System Outdoor Parking - Secured Parking Facility Room Service Trekking,3,"Nakki Lake,Shankar Math,Mount Road,Bus Stand,Toad Rock,Om Shanti Bhawan",Forest Eco Lodge,Homestay,Rajasthan
,"Plot No. 20/10,, KPHB 6th Phase Rd, Kukatpally Housing Board Colony, K P H B Phase 6, Kukatpally",Hyderabad,Airport Transfer Available   Surcharge,0,Kukatpally,Eeshwarillu Cool Rooms,Hotel,Andhra Pradesh
Room Service,"Midway Corbett - Ranikhet, Near Maa Bhona Devi Temple, Ghatti - Basot Road, Village Micholi, P.O.Seem, Tehsil Bhikyasen",Ranikhet,Doctor on Call Lobby Front Desk Local Tour   Travel Desk 24 Hour Front Desk Power Backup Campfire   Bon Fire Room Service (24 Hours) RO Water Purification System Room Service,3,Almora Ranikhet Road,Essence of Nature,Resort,Uttarakhand
Room Service Internet Access Gym Spa,"Opposite Sale Tax Office, Sangrur Ho, Sangrur - 148001, Mahavir Chownk",Sangrur,Airport Transfer Available   Surcharge Babysitting  Child Care (surcharge) Banquet Facilities Business Center  Concierge Currency Exchange Disabled Friendly Facilities  Doctor on Call Dry Cleaning Health Club   Gym Facility Available Internet Access - Surcharge Laundry Service Available Lift   Elevator Lobby,0,Mall Road,"EATING MALL, HOTELS AND PARTY HALL",Hotel,Punjab
Room Service Internet Access Gym Spa,"53 Bhramshatriya Society, Gujarat Collage Road, Behind Tasty Restaurant, Ellisbridge",Ahmedabad,Business Center  Currency Exchange Doctor on Call Dry Cleaning Health Club   Gym Facility Available Laundry Service Available Lift   Elevator Lobby Parking Facilities Available Front Desk Local Tour   Travel Desk Major Credit Cards Accepted 24 Hour Front Desk Luggage Storage Medical Assistance Available Power Backup Audio - Visual Equipment Wake-up Call   Service Fitness Equipment Conference Facility  Smoking Rooms Smoking Area  Veranda Extra Person   Child - Share the same room Car Rental Board Room  Drivers Rest Room Newspapers In Lobby Air   Rail Booking Baggage Room RO Water Purification System Outdoor Parking - Secured Parking Facility Internet Access,0,"Indian Institute of Management,St Xaviers College,Sardar Vallabhbhai Patel International Airport,Ellis Bridge Area,Paldi Bus Terminus",FabHotel Oriental Ellisbridge,Service Apartment,Gujarat
Room Service,"Near ICICI Bank, Habsiguda Main Road, Hyderabad",Hyderabad,Laundry Service Available Lift   Elevator Front Desk Power Backup Parking Facility Room Service,2,Secunderabad,Dwaraka Inn,Hotel,Andhra Pradesh
Room Service,"Gayathri Bhavan Building,  Dhanavantri Road,  Near Railway Station,  Mysore, Karnataka - 570001",Mysore,Lobby Front Desk 24 Hour Front Desk Power Backup Wake-up Call   Service Extra Person   Child - Share the same room Car Rental Newspapers In Lobby Family Room Room Service (24 Hours) Outdoor Parking - Non Secured Room Service CCTV Full Time Operation for All 7 Days,0,"Bus Stand/Railway Station Area,Mysore Airport,Gun House,Mysore Railway Station,Mysore City Bus Stand,KSRTC Bus Depot,Mysore Zoo,Railway Museum,Mysore Palace,Captain Bailey Dungeon,Jaganmohan Palace,Folklore Museum,JSS Hospital,DRC Mall,Basappa Memorial Hospital,Karnataka State Open University,University of Mysore,BGS Apollo Hospital,VIKRAM JEEV MYSURU,St Philomenas Church,karanji lake",Dhanawantri Comforts,Hotel,Karnataka
Room Service Internet Access Restaurant,"Signature Smart Homes,Q-86,SOUTH CITY-1",Gurgaon,Doctor on Call Internet Access - Surcharge Lift   Elevator Lobby Non Smoking Rooms Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility 24 Hour Front Desk Luggage Storage Air-Conditioning - Central Welcome Drinks Power Backup Multi Lingual Staff Wake-up Call   Service Conference Facility  Smoking Rooms Food Facility Newspapers In Lobby Whirlpool Bath   Shower Cubicle Room Service (24 Hours) RO Water Purification System Outdoor Parking - Secured Parking Facility Internet Access Restaurant CCTV Fire Exit Signs First-Aid Kit at Front Desk,3,"Sector 40,Sahara Mall,Star Mall,Amity International School,Huda Gymkhana Club,Omaxe Celebration Mall,Huda City Center Metro Station,Kingdom of Dreams,Cyber Park,DLF Star Mall,Paras Hospitals,Max Hospital,Fortis Memorial Research Institute,HSBC Bank,Oysters Beach Water Park,Leisure Valley Park,Signature Tower",FabHotel Cyber Park,Hotel,Haryana
Room Service,"Near Thevara junction, thevara, Ernakulam, Ernakulam 682013",Ernakulam,Parking Facilities Available Front Desk Parking Facility Room Service First-Aid Kit at Front Desk,0,"Ernakulam Junction,Ernakulam",FURNISHED 3BHK FLAT,Service Apartment,Kerala
Room Service Internet Access Restaurant,"15 A/6 WEA, Ajmal Khan Road, Near Karol Bagh Metro Station, Opposite Puja Park, Karol Bagh,",Delhi,Business Center  Doctor on Call Dry Cleaning Internet Access - Surcharge Laundry Service Available Lift   Elevator Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  Local Tour   Travel Desk Major Credit Cards Accepted 24 Hour Front Desk Air-Conditioning - Central Power Backup Wake-up Call   Service Car Rental Newspapers In Lobby Room Service (24 Hours) Voicemail STD   ISD RO Water Purification System,3,"India Gate,Connaught Place,Jhandewalan Mandir,Gaffar Market,Talkatora Indoor Stadium,Talkatora Stadium,Shivaji Stadium,Karol Bagh Area,Tis Hazari Court,YMCA Institute,Sarai Rohilla Station,Ajmeri Gate,Karnail Singh Stadium,West Delhi,Ramakrishna Ashram Marg,Metro Rajiv Chowk,Karol Bagh Metro Station,Delhi Heart and Lung Institute,Shivaji Hockey Stadium,BLK Super Speciality Hospital,Lakshmi Narayan Birla Mandir,Gangaram Hospital,Gurudwara Nanaksar Sahib,Palika Bazaar",Florence Inn,Hotel,Delhi
,33 Suraj Nagar East Civil lines.,Jaipur,,0,"Others,Brila Auditorium,Sindhi Camp Bus Station,Metropolitan Mall,Jaipur Railway Station,The Statue Circle,Central Park",Doodle Rack,Hostel,Rajasthan
Room Service Restaurant,Haddo,Port Blair,Doctor on Call Dry Cleaning Laundry Service Available Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  Local Tour   Travel Desk 24 Hour Front Desk Welcome Drinks Power Backup Nature Walk Newspapers In Lobby Room Service (24 Hours)  Cook Services Parking Facility,0,"Veer Savarkar International Airport,Haddo,Aberdeen Bazar,Water Sports complex,Light House Cinema,Netaji Stadium,Samudrika Marine Museum",DREAM PALACE,Hotel,Andaman and Nicobar Islands
Room Service Restaurant Free Internet,"Opp. ACC Cements Plot No. L/2, Road No. 5, Near Truck Terminal, Kalamboli, Navi Mumbai",Navi Mumbai,Banquet Facilities Bar   Lounge  Currency Exchange Doctor on Call Laundry Service Available Lift   Elevator Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Local Tour   Travel Desk Valet service Major Credit Cards Accepted 24 Hour Front Desk Doorman Medical Assistance Available Wedding Services Facility Multi - Line Phone Veg   Non Veg Kitchens Separate  Vegetarian Food   Jain Food Available Extra Person   Child - Share the same room Newspapers In Lobby Room Service (24 Hours) Party hall Parking Facility,3,Navi Mumbai Area,Devanshi Inn,Hotel,Maharashtra
Internet Access,"Plot No. 9-4-187, Rezimental Bazaar, Secunderabad, Hyderabad - 500003",Hyderabad,Power Backup Food Facility Internet Access,0,"St Mary's Junior College,Secunderabad,Ajanta Cinema,Secunderabad Railway Station,Apollo Hospital,JBS Bus Stand",Eashwar Lodge,Lodge,Andhra Pradesh
Room Service Internet Access,"18, Shivam Bungalow, Opp Aarohi Complex",Ahmedabad,Doctor on Call Internet Access - Surcharge Laundry Service Available Lift   Elevator Parking Facilities Available Front Desk Local Tour   Travel Desk Luggage Storage Medical Assistance Available Wake-up Call   Service Food Facility Room Service,0,"Indian Institute of Management,St Xaviers College,Sardar Vallabhbhai Patel International Airport,Ring Road,Paldi Bus Terminus,Geeta Mandir Bus Stop,Ahmedabad Railway Station,Lal Darwaja AMTS Bus Terminus,Ahmedabad Central Bus Station,Gandhigram Railway Station,Teen Darwaja,Vadilal Sarabhai Hospital,Bhadra Fort,HCG Multi Specialty Hospital,National Institute of Design,CG Road,Law garden,Ahmedabad Institute Of Medical Services Hospital,Hutheesing Jain Temple,Sidi Saiyad Masjid,Ellis Bridge,Delhi Darwaja Gate",Elis Hospitality Shivam Bunglow,Service Apartment,Gujarat
Room Service,"A-55,Khasra No-388, ROAD NO.3, NH-8, Mahipalpur, Delhi - 110037, NEAR IGI AIRPORT",Delhi,Doctor on Call Parking Facility Room Service,2,"South Delhi,Delhi Airport,Delhi Airport, Mahipalpur, Aerocity,Delhi Aero City,TERI University",Dhawan Guest House,Guest House,Delhi
Room Service Internet Access,sector 22/344,Gurgaon,Internet Access - Surcharge Laundry Service Available Parking Facilities Available 24 Hour Front Desk Power Backup Room Service (24 Hours) Parking Facility,1,"Sahara Mall,Huda Gymkhana Club,Sector 21,Star Mall,Amity International School,Huda City Center Metro Station,Kingdom of Dreams,Cyber Park,Gallaria Market,DLF Star Mall,Paras Hospitals,Max Hospital,Fortis Memorial Research Institute,HSBC Bank,Oysters Beach Water Park,Signature Tower,Iffco Chowk,Leisure Valley Park",Friends Residency,Guest House,Haryana
,"Dharmatala, Kolkata, West Bengal - 700013",Kolkata,Doctor on Call,0,,Esplanade Inn,Hotel,West Bengal
Room Service Internet Access Gym Spa Swimming Pool Restaurant,"C-1-C-2,Taj Nagari,Phase 1 Fatehabad Road",Agra,Swimming Pool Airport Transfer Available   Surcharge Banquet Facilities Bar   Lounge  Barbecue Area Concierge Currency Exchange Disabled Friendly Facilities  Doctor on Call Dry Cleaning Gift Shop  Health Club   Gym Facility Available Internet Access - Surcharge Laundry Service Available Lift   Elevator Lobby Non Smoking Rooms Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Non Smoking Hotel Spa On Site - Chargeable Local Tour   Travel Desk Valet service Major Credit Cards Accepted 24 Hour Front Desk Luggage Storage Doorman Medical Assistance Available Air-Conditioning - Central Welcome Drinks Power Backup Express Check-In   Check-Out Audio - Visual Equipment Wedding Services Facility Wake-up Call   Service Fitness Equipment Porter   Bellhop Suitable For Children Coffee Shop   Cafe Conference Facility  Smoking Rooms Disabled Friendly Rooms Fax Machine Electronic   Magnetic Keys Multi - Line Phone Fire Place Available  Wheelchair Accessibility - Room Massage Services  Poolside Bar Smoking Area  Open Air Restaurant   Dining  Vegetarian Food   Jain Food Available Extra Person   Child - Share the same room Car Rental Express Laundry Kids Play Zone Oxygen Cylinder (on request) Taxi Services Board Room Newspapers In Lobby Postal   Parcel Services Room Service (24 Hours) Voicemail Party hall Spa Services Onsite - Free Air   Rail Booking STD   ISD Baggage Room Internet   Fax (Reception area only) Outdoor Parking - Secured Parking Facility Internet Access Restaurant Room Service Ayurvedic Facilities  Fire Safety CCTV Fire Exit Signs First-Aid Kit at Front Desk Full Time Operation for All 7 Days Metal Detectors Paid Transfers Pest Control Facility Porter Services Available Public Restrooms Security at All Hotel Entrances Smoke Detector Speciality Restaurant  Stamps and Mailing Facility Suites X-Ray Machine at Entrance,4,"Mugal Bazar,Fatehabad Road,Agra Airport,U P Handicraft Bazar,Taj Mahal,AMIT JAGGI MEMORIAL HOSPITAL,Dr Upadhyay Hospital,TDI Mall",Four Points By Sheraton,Hotel,Uttar Pradesh
Room Service Internet Access,"thapar chamber deshbandhu gupta road , opposite mcdonald",Delhi,Internet Access - Surcharge Laundry Service Available Lift   Elevator Power Backup Room Service (24 Hours),3,"Central Delhi,Ajmeri Gate,Tis Hazari Court,Paharganj,Old Delhi Railway Station,Chandni Chowk,Raj Ghat,Shivaji Stadium,Dr Ambedkar Stadium,Karnail Singh Stadium,Agrasen Boali",Express 66,Hotel,Delhi
Room Service,"D'souza's Holiday Homes House No 141, Fort Aguada Road, Candolim, Goa - 403515.",Goa,Doctor on Call 24 Hour Front Desk Parking Facility Room Service Fire Safety CCTV First-Aid Kit at Front Desk,0,"North Goa,Sinquerim Beach,Candolim Beach,Fort Aguada,Candolim Area",Dsouzas Holiday Homes,Guest House,Goa
Room Service Gym Spa Swimming Pool Restaurant Free Internet,"Mohanlal ganj, raibarelly road near SGPGI",Lucknow,"Swimming Pool Banquet Facilities Billiards Business Center  Doctor on Call Dry Cleaning Health Club   Gym Facility Available Laundry Service Available Lift   Elevator Lobby Non Smoking Rooms Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Non Smoking Hotel Local Tour   Travel Desk Major Credit Cards Accepted 24 Hour Front Desk Luggage Storage Medical Assistance Available Power Backup Gardens Wedding Services Facility Wake-up Call   Service Conference Facility  Smoking Rooms Pool Table Pick Up and Drop (Rly Station, Bus Stand, Temple) Smoking Area  Shopping Drop Facility (on fixed timings) Extra Person   Child - Share the same room Car Rental Express Laundry Taxi Services Food Facility Internet Access Free Newspapers In Lobby Room Service (24 Hours) Party hall RO Water Purification System Outdoor Parking - Secured Parking Facility",1,"Others,Chaudhary Charan Singh International Airport",Diamond Resort &amp; Club,Resort,Uttar Pradesh
Room Service,"172/5, Undi Road,Behind Coastal City Center, Bhimavaram, Andhra Pradesh 534202",Bhimavaram,24 Hour Front Desk Room Service (24 Hours) Parking Facility,3,Bhimavaram,Falcons nest,Hotel,Andhra Pradesh
Internet Access,"Chunangattu, Near Children's Park,Opposite Collectorate",Kottayam,Parking Facilities Available Kitchen available (home cook food on request) Internet Access,0,"Kottayam Station,Sreenivasa Iyer Road,Marmala",FENN HALL,Homestay,Kerala
Room Service Restaurant,"Off Calagute Road, Nigwaddo, Saligao,Bardez",Goa,Currency Exchange Doctor on Call Laundry Service Available Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Local Tour   Travel Desk 24 Hour Front Desk Luggage Storage Gardens  Bike on Rent Village Visit ( Chargeable ) Car Rental Taxi Services Outdoor Parking - Secured Parking Facility Room Service CCTV Full Time Operation for All 7 Days,0,"Calangute Bus Stand,Calangute Area,North Goa",Flowers Guest House,Guest House,Goa
,"Hospura, Hirekolale Post,",Chikmagalur,Doctor on Call Parking Facilities Available Front Desk Power Backup Gardens,0,"Hospura,Manikyadhara Falls",Foothill Homestay,Homestay,Karnataka
,"149,Bhag Singh Circle,Adarsh Nagar,Near Raja Park",Jaipur,Laundry Service Available Lobby Front Desk Local Tour   Travel Desk Major Credit Cards Accepted 24 Hour Front Desk Power Backup Taxi Services Parking Facility,2,"Jaipur International Airport,Johari Bazar,J L N Marg,Jantar Mantar,City Palace,Metropolitan Mall,Ambagarh Fort,Hawa Mahal",Divine-A Boutique Hotel,Hotel,Rajasthan
Room Service,"Jambhulne,Next to Happy Home Society,Sahara Amby Valley Road,",Lonavala,Doctor on Call Laundry Service Available Lobby Parking Facilities Available Front Desk 24 Hour Front Desk Doorman Newspapers In Lobby Room Service (24 Hours) Baggage Room Parking Facility,0,"Others,Lonavala Railway Station,Bhairavnath Temple,Kumar Resort water park,Triose Mall,Narayanidham Mandir,Center Point,Bus Stand,Tungarli Lake,Lonavla Lake",Fantasy Villas,Resort,Maharashtra
,"Kanpur Lucknow Rd, Bani, Uttar Pradesh 226401",Lucknow,Doctor on Call Lobby Front Desk Local Tour   Travel Desk 24 Hour Front Desk Medical Assistance Available Power Backup,0,Bani,G REST Hotel and Resort,Hotel,Uttar Pradesh
Room Service Internet Access Restaurant,"Ashvem Beach Rd, Ashvem Wada Pernem, Mandrem, Goa 403527",Goa,Bar   Lounge  Doctor on Call Laundry Service Available Lift   Elevator Lobby Non Smoking Rooms Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility 24 Hour Front Desk Luggage Storage Doorman Air-Conditioning - Central Power Backup Gardens Multi Lingual Staff Wake-up Call   Service Separate Sitting Area Smoking Rooms Fire Place Available  Veg   Non Veg Kitchens Separate  Food Facility Newspapers In Lobby Whirlpool Bath   Shower Cubicle Internet   Fax (Reception area only) RO Water Purification System Outdoor Parking - Secured Parking Facility Restaurant Room Service Fire Safety CCTV Fire Exit Signs First-Aid Kit at Front Desk Speciality Restaurant,3,"Mandrem Beach,Other North Goa Beaches,North Goa",FabHotel Tahira Ashwem Beachfront,Hotel,Goa
,"Near Dream Holidays, Tungarli",Lonavala,Airport Transfer Available   Surcharge Doctor on Call Parking Facilities Available Suitable For Children Grocery Extra Person   Child - Share the same room Car Rental,0,"Tungarli Lake Area,Lonavala Railway Station,Kumar Resort water park,Triose Mall,Narayanidham Mandir,Center Point,Bus Stand,Tungarli Lake,Lonavla Lake",Dream Holiday Bungalow,Bungalow,Maharashtra
Room Service Internet Access Restaurant,"Gandharv Residency, 1291,1292, Off J.M.Road, Behind Gandharv Restaurant, Shivajinagar, Pune",Pune,"Ballroom Banquet Facilities Business Center  Doctor on Call Dry Cleaning Internet Access - Surcharge Laundry Service Available Lift   Elevator Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Local Tour   Travel Desk Major Credit Cards Accepted Medical Assistance Available Air-Conditioning - Central Power Backup Conference Facility  Multi - Line Phone Pick Up and Drop (Rly Station, Bus Stand, Temple) Express Laundry Taxi Services Newspapers In Lobby Room Service (24 Hours) STD   ISD",3,"Airport,Deccan Gymkhana,Shivajinagar Railway Station,Sinhagad Fort,Fergusson College,Bhimashankar,Pashan Lake,Saras Baug Temple,Rajiv Gandhi Snake Park,Vishrambaugh Wada,Prabhat Cinema,Shivaji Nagar,Rahul Cinema,Film and Television Institute of India,Parvati Hill,Pune Airport",FabHotel Shivajinagar,Hotel,Maharashtra
Room Service,"Kompally village,medchal Road, Kompally,",Secunderabad,Front Desk Room Service (24 Hours) Parking Facility,3,Kompally,Dhola-Ri-Dhani,Resort,Andhra Pradesh
Room Service,"Hotel dolma,Old market",Bomdila,Doctor on Call Parking Facilities Available Front Desk Room Service Public Restrooms,0,Bomdila,Dolma Cottage,Cottage,Arunachal Pradesh
Room Service Internet Access Gym Spa Restaurant,"Ekaant The Retreat, Lavasa Corporation Limited (An HCC Group Company) At  Post: Dasve Lavasa, Taluka: Mulshi, Pune - 412 112.",Lavasa,"Airport Transfer Available   Surcharge Banquet Facilities Bar   Lounge  Barbecue Area Beauty Salon - on charge Concierge Currency Exchange Disabled Friendly Facilities  Doctor on Call Dry Cleaning Games Zone Health Club   Gym Facility Available Laundry Service Available Lobby Non Smoking Rooms Parking Facilities Available Pets Allowed Front Desk Multi Cuisine Restaurant  Local Tour   Travel Desk Valet service Major Credit Cards Accepted 24 Hour Front Desk Luggage Storage Medical Assistance Available Welcome Drinks Power Backup Express Check-In   Check-Out Gardens Wedding Services Facility Catering Multi Lingual Staff Exhibit Space Wake-up Call   Service Fitness Equipment Porter   Bellhop Separate Sitting Area Coffee Shop   Cafe Conference Facility  Smoking Rooms Access Via Exterior Corridors Disabled Friendly Rooms Electronic   Magnetic Keys Picnic Area Wheelchair Accessibility - Room Massage Services  Clubhouse Boating Pick Up and Drop (Rly Station, Bus Stand, Temple) Nature Walk Smoking Area  Veranda  Bike on Rent In House Events  Vegetarian Food   Jain Food Available Extra Person   Child - Share the same room Village Visit ( Chargeable ) Car Rental Express Laundry Kids Play Zone Taxi Services Board Room City Shuttle Service Campfire   Bon Fire Food Facility Newspapers In Lobby Children's Park Postal   Parcel Services Family Room Room Service (24 Hours) Spa Services Nearby Party hall Air   Rail Booking STD   ISD Courier Service Guide   Sightseeing Service Internet   Fax (Reception area only) Adjoining Rooms RO Water Purification System Outdoor Parking - Secured Internet Access",0,Dasve,Ekaant The Retreat,Hotel,Maharashtra
Room Service,"Prop. Sh. Jagjeet Singh, Village and P.O. Sangla, Tehsil Sangla, District Kinnaur,Sangla, Batseri village, Chitkul 25 km.",Kinnaur,Doctor on Call Power Backup Wake-up Call   Service Parking Facility Room Service,0,Kalpa &amp; Rakcham Sangla,"Dumber Cottage, Sangla",Homestay,Himachal Pradesh
,"40/4969 - A, Basin Road",Cochin,Parking Facilities Available 24 Hour Front Desk Newspapers In Lobby,2,"Ernakulam Junction,Bolgatty Palace,Ernakulam",ECO Lodge,Hotel,Kerala
Room Service Internet Access Free Internet,"Near Vivus Hospital,Daswal Road, Madikeri (Mercara)",Coorg,Business Center  Internet Access - Surcharge Parking Facilities Available Front Desk Locker Facility 24 Hour Front Desk Welcome Drinks Power Backup Gardens Conference Facility  Cell Phone Rental Transfers Available Taxi Services Internet Access Free Newspapers In Lobby Room Service (24 Hours) Parking Facility Internet Access Room Service Trekking CCTV,1,"Abbey Falls,Madikeri Fort,Mercara Downs Golf Club,Madikeri,Gaddige,Omkareshwara temple,Madikeri Bus stand",Flora Homes,Homestay,Karnataka
Room Service,"29-30 Saraswati Kunj - Sector 54, Golf Course Road , Gurgoan  (Next to Vatika Towers)",Gurgaon,Airport Transfer Available   Surcharge Business Center  Doctor on Call Dry Cleaning Laundry Service Available Parking Facilities Available Front Desk Major Credit Cards Accepted 24 Hour Front Desk Luggage Storage Welcome Drinks Power Backup Conference Facility  Newspapers In Lobby Room Service (24 Hours) Parking Facility,3,"Golf Course Road,Teri Golf Course,Amity International School,Alchemist Hospital,Centrum Plaza",Elevate Residency,Hotel,Haryana
Restaurant,"Above lokmanya Bank, opp Super market, Alto Dabolim Vasco Goa 403801",Goa,Bar   Lounge  Laundry Service Available Multi Cuisine Restaurant   Bike on Rent Taxi Services,3,"South Goa,Bogmalo Beach Area,BITS Pilani K K Birla Goa Campus,Dabolim Railway Station",Dewa Goa Apartments,Resort,Goa
Room Service Internet Access Restaurant,"xx111/290, Beach Road, Cherai Beach, Ernakulam, Kerala, India-683514",Cochin,"Airport Transfer Available   Surcharge Banquet Facilities Business Center  Concierge Currency Exchange Doctor on Call Gift Shop  Internet Access - Surcharge Laundry Service Available Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Non Smoking Hotel Spa On Site - Chargeable Local Tour   Travel Desk Major Credit Cards Accepted 24 Hour Front Desk Luggage Storage Medical Assistance Available Air-Conditioning - Central Welcome Drinks Power Backup Express Check-In   Check-Out Audio - Visual Equipment Dance Performances (on demand) Multi Lingual Staff Wake-up Call   Service Porter   Bellhop Sauna Suitable For Children Separate Sitting Area Conference Facility  Electronic   Magnetic Keys Multi - Line Phone Picnic Area Massage Services  Pick Up and Drop (Rly Station, Bus Stand, Temple) Private Beach Smoking Area  Veranda Vegetarian Food   Jain Food Available Extra Person   Child - Share the same room Village Visit ( Chargeable ) Express Laundry Meditation Room Taxi Services Board Room City Shuttle Service Karaoke  Campfire   Bon Fire Food Facility Newspapers In Lobby Yoga Hall   Classes Postal   Parcel Services Room Service (24 Hours) Air   Rail Booking STD   ISD Baggage Room Guide   Sightseeing Service Internet   Fax (Reception area only) Adjoining Rooms RO Water Purification System Outdoor Parking - Secured Parking Facility Internet Access Restaurant Room Service Ayurvedic Facilities  Fire Safety CCTV First-Aid Kit at Front Desk Full Time Operation for All 7 Days Paid Transfers Pest Control Facility Porter Services Available Public Restrooms Security at All Hotel Entrances Speciality Restaurant  Stamps and Mailing Facility Suites",4,Cherai,ESHA HERITAGE INN,Hotel,Kerala
Room Service,"Beside Bharath Petrol bunk, Near Ayyappa Circle, Nellore-4.",Nellore,Lift   Elevator Major Credit Cards Accepted 24 Hour Front Desk Luggage Storage Power Backup Room Service (24 Hours) Parking Facility,2,Dargamitta,DSR Paradise,Hotel,Andhra Pradesh
,"Baisonvalley Road, Pothamedu",Munnar,,0,"Spices Market,Pothamedu,Pothamedu Viewpoint,The Grandspa Ayurvedic Wellness & Research Centre,Blossom Hydel Park",Fragrant Nature Munnar,Hotel,Kerala
Room Service Swimming Pool Restaurant,"Near Bharat Petrol Pump, Mahabaleshwar",Mahabaleshwar,Swimming Pool Doctor on Call Games Zone Laundry Service Available Non Smoking Rooms Parking Facilities Available Multi Cuisine Restaurant  Locker Facility Power Backup Parking Facility Room Service,3,"Panchgani,Sunset Point,Connaught Peak,Venna Lake,Market,Wilson Point,Bus Stand,Old Mahabaleshwar,Bombay Point,Kate's Point,Helen’s Point,Morarji Castle,Main Town,Baghdad Point,Civil Hospital,Bee Keeping Training Institute, Mahabaleshwar,Dhobi Waterfall ,Marjorie Point",Fountain Village,Hotel,Maharashtra
Room Service,"Emgee's residency MG Road,Opposite Mayur Hotel,Chikmagalur",Chikmagalur,Doctor on Call Dry Cleaning Laundry Service Available Parking Facilities Available Front Desk 24 Hour Front Desk Doorman Power Backup Extra Person   Child - Share the same room Family Room RO Water Purification System Outdoor Parking - Secured Parking Facility Room Service Fire Safety Fire Exit Signs First-Aid Kit at Front Desk,0,"Manikyadhara Falls,Kadabagere",Emgee's Residency,Hotel,Karnataka
